head,relation,tail
DB00181,hasSideEffect,C0152198
DB00181,hasSideEffect,C0233632
DB00181,hasSideEffect,C0235146
DB00181,hasSideEffect,C0424000
DB00181,hasSideEffect,C1142135
DB00181,hasSideEffect,C1306341
DB00181,hasSideEffect,C1456784
DB00181,hasSideEffect,C0007166
DB00181,hasSideEffect,C0009421
DB00181,hasSideEffect,C0013144
DB00181,hasSideEffect,C0013362
DB00181,hasSideEffect,C0014394
DB00181,hasSideEffect,C0018946
DB00181,hasSideEffect,C0028738
DB00181,hasSideEffect,C0037822
DB00181,hasSideEffect,C0231837
DB00181,hasSideEffect,C0232292
DB00181,hasSideEffect,C0233407
DB00181,hasSideEffect,C0233794
DB00181,hasSideEffect,C0234518
DB00181,hasSideEffect,C0235063
DB00181,hasSideEffect,C0235710
DB00181,hasSideEffect,C0242184
DB00181,hasSideEffect,C0855775
DB00181,hasSideEffect,C1145670
DB00181,hasSideEffect,C1258215
DB00181,hasSideEffect,C2242996
DB00181,hasSideEffect,C3203358
DB00184,hasSideEffect,C0011603
DB00184,hasSideEffect,C0015230
DB00184,hasSideEffect,C0000737
DB00184,hasSideEffect,C0004604
DB00184,hasSideEffect,C0013395
DB00184,hasSideEffect,C0018681
DB00184,hasSideEffect,C0027497
DB00184,hasSideEffect,C0030193
DB00184,hasSideEffect,C0687713
DB00184,hasSideEffect,C0917801
DB00184,hasSideEffect,C0003862
DB00184,hasSideEffect,C0011991
DB00184,hasSideEffect,C0012833
DB00184,hasSideEffect,C0013404
DB00184,hasSideEffect,C0013604
DB00184,hasSideEffect,C0030554
DB00184,hasSideEffect,C0033774
DB00184,hasSideEffect,C0042571
DB00184,hasSideEffect,C0231528
DB00184,hasSideEffect,C0702166
DB00184,hasSideEffect,C0948594
DB00184,hasSideEffect,C0013390
DB00184,hasSideEffect,C0016204
DB00184,hasSideEffect,C0151505
DB00184,hasSideEffect,C1443060
DB00184,hasSideEffect,C0025345
DB00184,hasSideEffect,C0149745
DB00184,hasSideEffect,C0392171
DB00184,hasSideEffect,C0521839
DB00184,hasSideEffect,C0018834
DB00184,hasSideEffect,C0009676
DB00184,hasSideEffect,C0013378
DB00184,hasSideEffect,C0030252
DB00184,hasSideEffect,C0038362
DB00184,hasSideEffect,C0040435
DB00184,hasSideEffect,C2242996
DB00184,hasSideEffect,C0040409
DB00201,hasSideEffect,C0011603
DB00201,hasSideEffect,C0015230
DB00201,hasSideEffect,C0017181
DB00201,hasSideEffect,C0019080
DB00201,hasSideEffect,C0243026
DB00201,hasSideEffect,C0518015
DB00201,hasSideEffect,C0013404
DB00201,hasSideEffect,C0037274
DB00201,hasSideEffect,C0151736
DB00201,hasSideEffect,C3263723
DB00201,hasSideEffect,C0151908
DB00201,hasSideEffect,C0017152
DB00201,hasSideEffect,C0035078
DB00201,hasSideEffect,C0001122
DB00201,hasSideEffect,C0012739
DB00201,hasSideEffect,C0034063
DB00201,hasSideEffect,C2937358
DB00209,hasSideEffect,C0000737
DB00209,hasSideEffect,C0013395
DB00209,hasSideEffect,C0018681
DB00209,hasSideEffect,C0027497
DB00209,hasSideEffect,C0080274
DB00209,hasSideEffect,C0687713
DB00209,hasSideEffect,C0004093
DB00209,hasSideEffect,C0009806
DB00209,hasSideEffect,C0021400
DB00209,hasSideEffect,C0027441
DB00209,hasSideEffect,C0042029
DB00209,hasSideEffect,C0015672
DB00209,hasSideEffect,C0016204
DB00209,hasSideEffect,C0043352
DB00209,hasSideEffect,C0000731
DB00209,hasSideEffect,C0314719
DB00209,hasSideEffect,C0232492
DB00209,hasSideEffect,C0231919
DB00248,hasSideEffect,C0032285
DB00248,hasSideEffect,C0036974
DB00248,hasSideEffect,C0000737
DB00248,hasSideEffect,C0003467
DB00248,hasSideEffect,C0004604
DB00248,hasSideEffect,C0013395
DB00248,hasSideEffect,C0018681
DB00248,hasSideEffect,C0020538
DB00248,hasSideEffect,C0020649
DB00248,hasSideEffect,C0027497
DB00248,hasSideEffect,C0027769
DB00248,hasSideEffect,C0030193
DB00248,hasSideEffect,C0042963
DB00248,hasSideEffect,C0233494
DB00248,hasSideEffect,C0687713
DB00248,hasSideEffect,C0917801
DB00248,hasSideEffect,C0003123
DB00248,hasSideEffect,C0003862
DB00248,hasSideEffect,C0004093
DB00248,hasSideEffect,C0009806
DB00248,hasSideEffect,C0011570
DB00248,hasSideEffect,C0011991
DB00248,hasSideEffect,C0012833
DB00248,hasSideEffect,C0013404
DB00248,hasSideEffect,C0020458
DB00248,hasSideEffect,C0021400
DB00248,hasSideEffect,C0022408
DB00248,hasSideEffect,C0029408
DB00248,hasSideEffect,C0030554
DB00248,hasSideEffect,C0033774
DB00248,hasSideEffect,C0035455
DB00248,hasSideEffect,C0042029
DB00248,hasSideEffect,C0042571
DB00248,hasSideEffect,C0085649
DB00248,hasSideEffect,C0232462
DB00248,hasSideEffect,C0236075
DB00248,hasSideEffect,C0600142
DB00248,hasSideEffect,C0700590
DB00248,hasSideEffect,C0702166
DB00248,hasSideEffect,C0851578
DB00248,hasSideEffect,C0948594
DB00248,hasSideEffect,C2830004
DB00248,hasSideEffect,C0006277
DB00248,hasSideEffect,C0013390
DB00248,hasSideEffect,C0015672
DB00248,hasSideEffect,C0016204
DB00248,hasSideEffect,C0024902
DB00248,hasSideEffect,C0041912
DB00248,hasSideEffect,C0043352
DB00248,hasSideEffect,C0231218
DB00248,hasSideEffect,C0234215
DB00248,hasSideEffect,C1443060
DB00248,hasSideEffect,C2047937
DB00248,hasSideEffect,C0040460
DB00248,hasSideEffect,C0392171
DB00248,hasSideEffect,C0521839
DB00248,hasSideEffect,C3665347
DB00248,hasSideEffect,C0028084
DB00248,hasSideEffect,C0233414
DB00248,hasSideEffect,C0009676
DB00248,hasSideEffect,C0013384
DB00248,hasSideEffect,C0017152
DB00248,hasSideEffect,C0018524
DB00248,hasSideEffect,C0020651
